"HENRIQUEZ,RAUL E",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"HENRIQUEZ,RAUL E",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"HERRLE, CYNTHIA A",ASST TO THE SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"IVANCIC,CHARLOTTE S",ASSIST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"KOLEGO, TREVOR W",DIR OF MEMBER SERVICES,2015Q1,"",OFFICE OF THE SPEAKER
"LAMPERT,JUSTIN",RESEARCH ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"LEOPOLD,PATRICK R",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"LOHMEYER,SONJA M",DIRECTOR OF PUBLIC LIAISON,2015Q1,"",OFFICE OF THE SPEAKER
"LOZUPONE, AMY S",DIRECTOR OF ADMIN OPERATIONS,2015Q1,"",OFFICE OF THE SPEAKER
"MACDONALD, BRIAN C",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"MILAM, LAURA M",DEPUTY SCHEDULER,2015Q1,"",OFFICE OF THE SPEAKER
"MILLER,WILLIAM",SENIOR STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"MILLER,WILLIAM",SENIOR STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"MINGO,ZACHARY F",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"MINGO,ZACHARY F",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"MINKLER,ANN W",FLOOR ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"PALISI,ANNIE",DEPUTY DIRECTOR OF MEMBER SVCS,2015Q1,"",OFFICE OF THE SPEAKER
"PALMER, ASHLEY M",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"PIETKIEWICZ,ANNE K",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE SPEAKER
"PIETKIEWICZ,ANNE K",STAFF ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE SPEAKER
"RATCLIFFE,RAMSEY E",SPECIAL EVENTS COORDINATOR,2015Q1,"",OFFICE OF THE SPEAKER
"REED, HEATHER E",DEPUTY PRESS SECRETARY,2015Q1,"",OFFICE OF THE SPEAKER
"RENZ, BRANDON",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"RICCI,MICHAEL",DEPUTY COMMUNICATIONS DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"ROBINSON,GREGORY J",ASSOCIATE COUNSEL,2015Q1,"",OFFICE OF THE SPEAKER
"SAGER,MICHAEL J",SYSTEMS ADMINISTRATOR,2015Q1,"",OFFICE OF THE SPEAKER
"SCHNITTGER, DAVID M",DEPUTY CHIEF OF STAFF,2015Q1,"",OFFICE OF THE SPEAKER
"SMITH, CALEB J",DIGITAL COMMUNICATIONS DIRECTO,2015Q1,"",OFFICE OF THE SPEAKER
"SMITH, KEVIN",DIRECTOR OF COMMUNICATIONS,2015Q1,"",OFFICE OF THE SPEAKER
"SOMMERS, MICHAEL J",CHIEF OF STAFF,2015Q1,"",OFFICE OF THE SPEAKER
"STEEL, MICHAEL",PRESS SECRETARY,2015Q1,"",OFFICE OF THE SPEAKER
"STEWART, DAVID B",POLICY DIRECTOR (STAT),2015Q1,"",OFFICE OF THE SPEAKER
"STEWART, JENNIFER M",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"STRUNK, LYDIA",DEPUTY FLOOR DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"SWINEHART,SARAH V",DIRECTOR OF MEDIA AFFAIRS,2015Q1,"",OFFICE OF THE SPEAKER
"TALLENT,REBECCA A",ASST TO SPEAKER FOR POLICY,2015Q1,"",OFFICE OF THE SPEAKER
"THORSEN, ANNE B",FLOOR DIRECTOR,2015Q1,"",OFFICE OF THE SPEAKER
"WOLKING,MATTHEW D",COMMUNICATIONS ADVISOR,2015Q1,"",OFFICE OF THE SPEAKER
"ZULKOSKY,ERIC T",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE SPEAKER
"BERRY,TIMOTHY J",CHIEF OF STAFF,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BIEN,CHRISTOPHER A",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BORDEN III, R C",DIRECTOR OF OVERSIGHT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BRADLEY, NEIL L",DEP CHIEF OF STAFF FOR POLICY,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BUCHANAN,NATALIE L",DIR OF MEMBER SERVICES,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BURR,DANIELLE M",DIRECTOR OF EXTERNAL AFFAIRS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"CAREY,BRITTANY M",EXTERN AFFAIR ASST/ASST TO COS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"DIXON, KELLY A",DIR OF LEGISLATIVE OPERATIONS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"FRANC,MICHAEL G",POLICY DIRECTOR AND COUNSEL,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"GLANCEY,TESSICA M",DIGITAL COORDINATOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"GOURDIKIAN,ALEXANDRA G",STAFF ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"HENEHAN, EMILY A",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"HOWARD,BENJAMIN R",DIRECTOR OF FLOOR OPERATIONS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"KAREM,ROBERT S",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"KARR,ELIZABETH B",DEPUTY CHIEF OF STAFF FOR POLI,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"KLUTTZ,LAWSON T",SPECIAL ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"LEGANSKI,JOHN G",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"LONG,MICHAEL P",COMMUNICATIONS DIRECTOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"MAHAN,ROGER A",POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"MCCLELLAND, WESLEY R",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"MIN, JAMES B",DEPUTY CHIEF OF STAFF/COUNSEL,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"SPARKS, MATTHEW E",PRESS SECRETARY,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"STIPICEVIC, JOHN A",DEP COS FOR FLOOR AND MEM SERV,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"STIPICEVIC, KRISTIN",EXECUTIVE ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"THIELE,AARON J",SENIOR STAFF ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"TORRES,ALEC C",COMM AIDE AND SPEECHWRITER,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BERRY,TIMOTHY J",CHIEF OF STAFF,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BORDEN III, R C",DIRECTOR OF OVERSIGHT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BRADLEY, NEIL L",DEP CHIEF OF STAFF FOR POLICY,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BUCHANAN,NATALIE L",DIR OF MEMBER SERVICES,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"BURR,DANIELLE M",DIRECTOR OF EXTERNAL AFFAIRS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"CAREY,BRITTANY M",EXTERN AFFAIR ASST/ASST TO COS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"DIXON, KELLY A",DIR OF LEGISLATIVE OPERATIONS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"FRANC,MICHAEL G",POLICY DIRECTOR AND COUNSEL,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"GLANCEY,TESSICA M",DIGITAL COORDINATOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"HENEHAN, EMILY A",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"HOWARD,BENJAMIN R",DIRECTOR OF FLOOR OPERATIONS,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"KAREM,ROBERT S",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"KLUTTZ,LAWSON T",SPECIAL ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"LEGANSKI,JOHN G",SHARED EMPLOYEE,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"LONG,MICHAEL P",COMMUNICATIONS DIRECTOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"MAHAN,ROGER A",POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"MCCLELLAND, WESLEY R",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"MIN, JAMES B",DEPUTY CHIEF OF STAFF/COUNSEL,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"SPARKS, MATTHEW E",PRESS SECRETARY,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"STIPICEVIC, JOHN A",DEP COS FOR FLOOR AND MEM SERV,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"STIPICEVIC, KRISTIN",EXECUTIVE ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"THIELE,AARON J",SENIOR STAFF ASSISTANT,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"TORRES,ALEC C",COMM AIDE AND SPEECHWRITER,2015Q1,"",OFFICE OF THE MAJORITY LEADER
"ADRIANCE,EDWIN A",PRESS ASSISTANT,2015Q1,"",OFFICE OF THE MINORITY LEADER
"ADRIANCE,EDWIN A",PRESS ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE MINORITY LEADER
"AGUILAR,JORGE A",DEPUTY PRESS SECRETARY,2015Q1,"",OFFICE OF THE MINORITY LEADER
"BARRY,MARY K",DEPUTY DIRECTOR OF ADVANCE,2015Q1,"",OFFICE OF THE MINORITY LEADER
"BARRY,MARY K",DEPUTY DIRECTOR OF ADVANCE (OTHER COMPENSATION),2015Q1,"",OFFICE OF THE MINORITY LEADER
"BERRET,EMILY C",SPECIAL ASST TO THE LEADER,2015Q1,"",OFFICE OF THE MINORITY LEADER
"BLOOM, MICHAEL T",DEPUTY POLICY DIRECTOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"CAPRON, MARGARET W",SENIOR ADV POLICY & COMM,2015Q1,"",OFFICE OF THE MINORITY LEADER
"CAYEA,DEVAN W",DEPUTY ASSIST SCHEDULER,2015Q1,"",OFFICE OF THE MINORITY LEADER
"CHERRY,STEPHANIE",PRESS ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"CONNELLY,HENRY V",DIRECTOR OF SPEECHWRITING,2015Q1,"",OFFICE OF THE MINORITY LEADER
"DAY,TAMIKA K",SR STAFF ASST SYS ADMIN,2015Q1,"",OFFICE OF THE MINORITY LEADER
"DEGRAFF, KENNETH B",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"DEVLIN, PATRICK J",COMMUNICATIONS DIRECTOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"DEWHIRST, DIANE",DEPUTY CHIEF OF STAFF,2015Q1,"",OFFICE OF THE MINORITY LEADER
"DOHERTY,SINEAD G",ADVANCE DEPUTY,2015Q1,"",OFFICE OF THE MINORITY LEADER
"EDMONSON, ROBERT D",CHIEF OF STAFF,2015Q1,"",OFFICE OF THE MINORITY LEADER
"ELLISON,MATTHEW B",LEGISLATIVE ASSISTANT,2015Q1,"",OFFICE OF THE MINORITY LEADER
"ELSHAMI, NADEAM",CHIEF OF STAFF,2015Q1,"",OFFICE OF THE MINORITY LEADER
"FISCHER JR, ROBERT V",ASST FLOOR CHIEF,2015Q1,"",OFFICE OF THE MINORITY LEADER
"GEORGE,EVANGELINE M",DEPUTY COMM DIR/PRESS SEC,2015Q1,"",OFFICE OF THE MINORITY LEADER
"GREENER, APRIL L",RESEARCH DIRECTOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"GRIFFIN,TAYLOR T",PRESS ASSISTANT,2015Q1,"",OFFICE OF THE MINORITY LEADER
"GRIFFIN,TAYLOR T",PRESS ASSISTANT (OVERTIME),2015Q1,"",OFFICE OF THE MINORITY LEADER
"HAMMILL, ANDREW T",COMM DIR/SENIOR ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"HARTZ, JERRY",DIRECTOR OF FLOOR OPERATIONS,2015Q1,"",OFFICE OF THE MINORITY LEADER
"HAYNES JR, WILFRED J",IT DIRECTOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"KAPLAN,EMMA L",ASST TO THE EXECUTIVE OFFICE,2015Q1,"",OFFICE OF THE MINORITY LEADER
"KAPLAN,EMMA L",ASST TO THE EXECUTIVE OFFICE (OVERTIME),2015Q1,"",OFFICE OF THE MINORITY LEADER
"KEATING,ROSE M",ASST FLOOR MANAGER,2015Q1,"",OFFICE OF THE MINORITY LEADER
"KEITA,KAMILAH Z",DEPUTY INFOMATION TECH. DIRECT,2015Q1,"",OFFICE OF THE MINORITY LEADER
"KRETMAN,MATTHEW A",DIRECTOR OF OUTREACH,2015Q1,"",OFFICE OF THE MINORITY LEADER
"KUNDANIS, GEORGE",DEPUTY CHIEF OF STAFF,2015Q1,"",OFFICE OF THE MINORITY LEADER
"LIZARRAGA, JAIME E",SR ADV & DIR OF MEMBER SVC,2015Q1,"",OFFICE OF THE MINORITY LEADER
"LONG,MICHAEL G",SENIOR ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"MANGRUM, PEARL J",FINANCIAL ADMINISTRATOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"MCCLELLAND,ETHAN L",SPECIAL ASSISTANT,2015Q1,"",OFFICE OF THE MINORITY LEADER
"MELTZER,RICHARD",POLICY DIRECTOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"MONGE,KATHERINE S",TAX POLICY ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"O'DONNELL,ROBERT","CO-DIR, DEM POL & COMM CMTE",2015Q1,"",OFFICE OF THE MINORITY LEADER
"PALMER,ASHLI S",POLICY DIRECTOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"PARKER, WYNDEE R",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"PFEIFFER,AMY M",SENIOR ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"POWELL,LATRICE S",ASSISTANT CLOAKROOM MANAGER,2015Q1,"",OFFICE OF THE MINORITY LEADER
"PRICE, REVA B",OUTREACH DIRECTOR & ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"PRIMUS, WENDELL E",SENIOR POLICY ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"QUEEN,CORNELIUS W",LEGISLATIVE CORRESPONDENT,2015Q1,"",OFFICE OF THE MINORITY LEADER
"RICCIO,ANDREA M",DIR OF MEMBER SERVICES,2015Q1,"",OFFICE OF THE MINORITY LEADER
"RICCIO,ANDREA M",PRESS ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"ROBINSON,MALAIKA",DEP DIR OF SPEECHWRITING,2015Q1,"",OFFICE OF THE MINORITY LEADER
"ROCHELLE,COURTNEY E",DISTRICT SCHEDULER/EXEC ASSIST,2015Q1,"",OFFICE OF THE MINORITY LEADER
"SKILES,KATHLEEN J",DIGITAL DIR.& SENIOR ADVISOR,2015Q1,"",OFFICE OF THE MINORITY LEADER
"SLATER,SAMANTHA A","CO-DIR,DEM POLICY & COMM CMTE",2015Q1,"",OFFICE OF THE MINORITY LEADER
"SMITH,KELSEY L",DEPUTY DIRECTOR OF ADVANCE,2015Q1,"",OFFICE OF THE MINORITY LEADER
"SMITH,KELSEY L",DIR. OF SCHEDULING & ADVANCE,2015Q1,"",OFFICE OF THE MINORITY LEADER
"SURGEON,BINA G",SPECIAL ASST TO THE LEADER,2015Q1,"",OFFICE OF THE MINORITY LEADER
"TECKLENBURG, MICHAEL H",COUNSEL,2015Q1,"",OFFICE OF THE MINORITY LEADER
"WATKINS, YELBERTON R",CHIEF OF STAFF,2015Q1,"",OFFICE OF THE MINORITY LEADER
"WEST,JULIUS L",DEPUTY DIRECTOR OF MEMBER SVCS,2015Q1,"",OFFICE OF THE MINORITY LEADER
